Activity,StartTime,EndTime,TotalTime(ms)
com.babytree.apps.pregnancy/.MainActivity,05-05 14:41:35.090,05-05 14:41:37.390,2480
com.babytree.apps.pregnancy/.activity.SailfishActivity,05-05 14:41:40.930,05-05 14:41:41.690,2620
com.babytree.apps.pregnancy/.activity.search.activity.SearchActivity},05-05 14:41:50.810,,
com.babytree.apps.pregnancy/.activity.search.activity.SearchActivity},05-05 14:42:06.840,,
com.babytree.apps.pregnancy/.activity.sign.SignInActivity},05-05 14:42:28.690,,
com.babytree.apps.pregnancy/.activity.score.activity.MyScoreActivity},05-05 14:42:31.830,,
com.babytree.apps.pregnancy/.activity.score.activity.ScoreTaskActivity,05-05 14:42:33.850,05-05 14:42:34.030,1880
com.babytree.apps.pregnancy/.activity.score.activity.ScoreMallActivity,05-05 14:42:37.770,05-05 14:42:38.200,1970
com.babytree.apps.pregnancy/.activity.CalculatorActivity,05-05 14:42:52.220,05-05 14:42:52.470,690
com.babytree.apps.pregnancy/.activity.SailfishActivity,05-05 14:42:56.140,,
com.babytree.apps.pregnancy/.activity.knowledge.activity.KnowledgeRemindActivity,05-05 14:43:00.190,05-05 14:43:00.450,640
com.babytree.apps.pregnancy/.activity.mother_watch.activity.MotherDetailActivity,05-05 14:43:07.200,05-05 14:43:07.430,630
com.babytree.apps.pregnancy/.activity.mother_watch.activity.MotherDetailActivity,05-05 14:43:11.920,05-05 14:43:12.170,2090
com.babytree.apps.pregnancy/.video.MediaPlayActivity,05-05 14:43:15.230,05-05 14:43:16.150,1380
com.babytree.apps.pregnancy/.activity.knowledge.activity.KnowledgeNutritionActivity,05-05 14:43:28.480,05-05 14:43:28.740,1220
com.babytree.apps.pregnancy/.activity.WebviewActivity,05-05 14:43:36.910,05-05 14:43:37.130,2040
com.babytree.apps.pregnancy/.activity.JudgeListActivity,05-05 14:43:50.840,05-05 14:43:51.110,1950
com.babytree.apps.pregnancy/.activity.knowledge.activity.KnowledgeJudgeActivity,05-05 14:43:52.590,05-05 14:43:52.850,1440
com.babytree.apps.pregnancy/.activity.topic.details.TopicDetailActivity,05-05 14:43:57.770,05-05 14:43:58.110,1880
com.babytree.apps.pregnancy/.activity.topic.details.TopicDetailActivity,05-05 14:44:10.950,05-05 14:44:11.200,2150
com.babytree.apps.pregnancy/.activity.topicpost.activity.HotTopicPostActivity,05-05 14:44:16.970,05-05 14:44:17.270,2240
com.babytree.apps.pregnancy/.activity.group.AllGroupActivity},05-05 14:44:28.810,,
com.babytree.apps.pregnancy/.activity.MessageCenterActivity,05-05 14:44:36.720,05-05 14:44:36.980,1700
com.babytree.apps.pregnancy/com.meitun.mama.ui.HomeActivity,05-05 14:44:45.490,05-05 14:44:46.030,1520
com.babytree.apps.pregnancy/.activity.WebviewActivity,05-05 14:45:17.210,05-05 14:45:17.460,670
com.babytree.apps.pregnancy/.activity.CenterActivity,05-05 14:45:22.270,05-05 14:45:22.550,820
com.babytree.apps.pregnancy/.activity.CenterEditActivity},05-05 14:45:25.230,,
com.babytree.apps.pregnancy/com.babytree.platform.ui.activity.imageselect.activity.ImageChooseActivity,05-05 14:45:26.720,05-05 14:45:26.860,1580
com.babytree.apps.pregnancy/.activity.hospital.activity.LocationListActivity,05-05 14:45:32.480,05-05 14:45:32.750,1230
com.babytree.apps.pregnancy/com.meitun.mama.ui.mine.ReceiveAddressActivity,05-05 14:45:38.810,05-05 14:45:39.020,1830
com.babytree.apps.pregnancy/.activity.BindPhoneActivity,05-05 14:45:46.030,05-05 14:45:46.370,400
com.babytree.apps.pregnancy/.activity.recentlyScan.RecentlyScanActivity},05-05 14:45:58.640,,
com.babytree.apps.pregnancy/.activity.PostTopicListActivity,05-05 14:46:01.030,05-05 14:46:01.220,250
com.babytree.apps.pregnancy/.activity.ReplyTopicListActivity,05-05 14:46:03.250,05-05 14:46:03.440,690
com.babytree.apps.pregnancy/.activity.MyFavoritesActivity},05-05 14:46:07.400,,
com.babytree.apps.pregnancy/.activity.SettingActivity},05-05 14:46:14.730,,
com.babytree.apps.pregnancy/.activity.CenterActivity,05-05 14:46:27.330,05-05 14:46:27.550,880
com.babytree.apps.pregnancy/.activity.SettingActivity},05-05 14:46:31.250,,
com.babytree.apps.pregnancy/.activity.LoginActivity,05-05 14:46:32.960,05-05 14:46:33.220,2180
