,com.babytree.apps.pregnancy,6.6.1
,FirstColdStartTime(ms),WarmStartTime(ms)
1,,365

2,5458,1602

3,5654,602

4,4887,876

5,5145,257

6,4878,254

7,5229,312

8,4867,263

9,4693,554

10,4825,277

11,,

12,4927,262

13,4945,575

14,5088,579

15,5578,261

16,5050,1241

17,,

18,4780,526

19,,

20,4810,511

