,com.yaya.mmbang,3.13.0
,FirstColdStartTime(ms),WarmStartTime(ms)
1,1150,683

2,951,590

3,1146,631

4,982,685

5,986,607

6,996,437

7,1030,683

8,941,625

9,994,606

10,962,600

11,918,615

12,1002,663

13,1047,620

14,982,609

15,1016,688

16,1056,690

17,1002,725

18,947,600

19,983,594

20,1040,713

446

