,com.yaya.mmbang,3.11.4
页面名称,Activity,StartTime,EndTime,TotalTime(ms)
1,启动页面,SplashActivity,2016-05-25 15:57:34.275,2016-05-25 15:57:34.425,150
2,主页面,MainActivity,2016-05-25 15:57:37.375,2016-05-25 15:57:38.045,670
3,登录页面,ActivityLogin,2016-05-25 15:57:47.965,2016-05-25 15:57:48.115,150
4,推荐关注,RecommendFollowActivity,2016-05-25 15:57:54.105,2016-05-25 15:57:54.225,120
5,他人信息页,PersonalActivity,2016-05-25 15:58:03.125,2016-05-25 15:58:03.285,160
6,消息页面,BangMessageActivity,2016-05-25 15:57:57.995,2016-05-25 15:57:58.165,170
7,发帖页面,CreateTopicInputActivity,2016-05-25 15:58:06.075,2016-05-25 15:58:06.245,170
8,具体帮页面,BangItemListActivity,2016-05-25 15:58:19.155,2016-05-25 15:58:19.305,150
9,帖子详情页,TopicDetailListActivity,2016-05-25 15:58:01.585,2016-05-25 15:58:01.855,270
10,收藏页面,BangItemListActivity,2016-05-25 15:58:19.155,2016-05-25 15:58:19.305,150
11,我的帖子页面,BangItemListActivity,2016-05-25 15:58:19.155,2016-05-25 15:58:19.305,150
12,关注页面,FriendsActivity,2016-05-25 15:58:15.995,2016-05-25 15:58:16.145,150
13,粉丝页面,FriendsActivity,2016-05-25 15:58:15.995,2016-05-25 15:58:16.145,150
14,设置页面,SettingActivity,2016-05-25 15:58:12.475,2016-05-25 15:58:12.705,230
