Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,BatteryLevel
2016-05-25 16:25:57,activity.WebViewLinkActivity,32478,36908,191880,56%,0%,623351,231366,99
2016-05-25 16:26:00,activity.WebViewLinkActivity,32478,36716,191980,56%,0%,624081,233840,99
2016-05-25 16:26:03,activity.WebViewLinkActivity,32478,36892,192156,60%,0%,624081,233840,99
2016-05-25 16:26:06,activity.WebViewLinkActivity,32474,36848,191992,60%,0%,624081,233840,99
2016-05-25 16:26:09,activity.WebViewLinkActivity,32474,36860,192336,60%,0%,624712,235237,99
2016-05-25 16:26:12,activity.WebViewLinkActivity,32474,37248,192572,60%,0%,625077,236474,99
2016-05-25 16:26:15,activity.WebViewLinkActivity,32462,37100,192352,38%,0%,625442,237711,99
2016-05-25 16:26:18,activity.WebViewLinkActivity,32474,36952,192552,38%,1%,626617,241422,99
2016-05-25 16:26:21,activity.WebViewLinkActivity,32474,37132,192680,38%,3%,627792,245133,99
2016-05-25 16:26:24,activity.WebViewLinkActivity,32474,37104,192688,38%,0%,628197,246370,99
2016-05-25 16:26:27,activity.WebViewLinkActivity,32474,37444,192972,38%,0%,628602,247623,99
2016-05-25 16:26:30,activity.WebViewLinkActivity,32474,37516,195172,38%,30%,685158,260390,99
2016-05-25 16:26:33,activity.WebViewLinkActivity,32882,38920,210740,38%,29%,1179995,296538,99
2016-05-25 16:26:36,activity.TopicDetailListActivity,63410,40568,264264,77%,8%,1201685,297386,99
2016-05-25 16:26:39,home.MainActivity,71090,40752,263344,77%,10%,1201725,297426,99
2016-05-25 16:26:42,home.MainActivity,71070,40728,263464,89%,3%,1201725,297426,99
2016-05-25 16:26:45,activity.TopicDetailListActivity,71070,40944,263500,89%,8%,1201725,297426,99
2016-05-25 16:26:48,activity.TopicDetailListActivity,78930,40768,281740,94%,0%,1242317,302988,99
2016-05-25 16:26:51,activity.BangItemListActivity,82390,40264,287720,94%,45%,1476602,319632,99
2016-05-25 16:26:54,activity.WebViewLinkActivity,85098,46476,330152,123%,31%,1943475,382028,99
2016-05-25 16:26:57,activity.WebViewLinkActivity,84850,46636,348028,123%,24%,2143198,411303,99
2016-05-25 16:27:00,activity.WebViewLinkActivity,84942,47648,410992,204%,22%,2459292,452307,99
2016-05-25 16:27:03,activity.TopicDetailListActivity,84946,49744,311808,204%,1%,2459731,453973,99
2016-05-25 16:27:06,activity.TopicDetailListActivity,84962,49940,312024,84%,1%,2459771,454013,99
2016-05-25 16:27:09,activity.TopicDetailListActivity,84910,49876,312076,84%,1%,2481767,459287,99
2016-05-25 16:27:12,activity.PersonalActivityNew,96762,50524,324644,66%,0%,2481767,459287,99
2016-05-25 16:27:15,activity.PersonalActivityNew,96670,50604,324648,66%,0%,2482167,459615,99
2016-05-25 16:27:18,activity.PersonalActivityNew,96530,50624,326324,66%,3%,2486983,462549,99
2016-05-25 16:27:22,activity.TopicDetailListActivity,102398,50796,326796,66%,0%,2487143,462893,99
2016-05-25 16:27:25,activity.TopicDetailListActivity,97590,50600,326800,59%,0%,2487334,463065,99
2016-05-25 16:27:28,activity.TopicDetailListActivity,97442,50912,326700,59%,0%,2487334,463065,99
2016-05-25 16:27:31,activity.TopicDetailListActivity,97454,50788,364956,59%,29%,2775929,491487,99
2016-05-25 16:27:34,activity.WebViewLinkActivity,98106,52276,405080,59%,1%,2929772,499760,99
2016-05-25 16:27:37,activity.WebViewLinkActivity,98034,52376,413452,85%,23%,3232124,530355,99
2016-05-25 16:27:40,activity.WebViewLinkActivity,97930,53148,432760,85%,18%,3508264,565756,99
2016-05-25 16:27:43,activity.WebViewLinkActivity,97934,55480,442060,85%,26%,3535945,570174,99
2016-05-25 16:27:46,activity.WebViewLinkActivity,98494,55404,442452,85%,4%,3535985,570214,99
2016-05-25 16:27:49,activity.WebViewLinkActivity,97918,55436,438592,85%,1%,3536065,570294,98
2016-05-25 16:27:52,activity.WebViewLinkActivity,98490,55500,439368,139%,1%,3536105,570454,98
2016-05-25 16:27:55,activity.WebViewLinkActivity,98490,55624,439560,139%,1%,3536105,570454,98
2016-05-25 16:27:58,activity.WebViewLinkActivity,98478,55752,440508,139%,38%,3536105,570454,98
2016-05-25 16:28:01,activity.WebViewLinkActivity,98446,55732,440800,139%,11%,3543080,575488,98
2016-05-25 16:28:04,test.ShareInputActivity,99462,55636,441488,96%,0%,3543120,575528,98
2016-05-25 16:28:07,test.ShareInputActivity,98386,55876,441048,96%,1%,3543120,575528,98
2016-05-25 16:28:10,test.ShareInputActivity,98186,56008,440996,96%,2%,3543200,575848,98
2016-05-25 16:28:13,test.ShareInputActivity,98186,55828,440848,62%,1%,3543200,575848,98
2016-05-25 16:28:16,test.ShareInputActivity,98186,55844,440732,62%,2%,3543280,575928,98
2016-05-25 16:28:19,test.ShareInputActivity,98174,55868,440944,62%,0%,3543280,576048,98
2016-05-25 16:28:22,test.ShareInputActivity,98186,55896,440868,59%,1%,3543280,576048,98
2016-05-25 16:28:25,test.ShareInputActivity,98186,55900,441084,59%,1%,3543280,576048,98
2016-05-25 16:28:28,test.ShareInputActivity,98174,56020,441272,59%,1%,3543280,576088,98
2016-05-25 16:28:32,test.ShareInputActivity,98186,55892,441104,61%,0%,3543400,576180,98
2016-05-25 16:28:35,test.ShareInputActivity,98246,55908,440768,61%,1%,3543400,576180,98
2016-05-25 16:28:38,test.ShareInputActivity,98246,55968,441048,61%,0%,3543400,576180,98
