,com.yaya.mmbang,3.13.0
,FirstColdStartTime(ms),WarmStartTime(ms)
1,724,418
2,1042,369
3,1050,426
4,1058,376
5,1087,483
6,1031,401
7,1070,406
8,1001,391
9,1079,388
10,1065,393
11,1039,397
12,1077,339
13,1075,387
14,1046,409
15,1094,386
16,1194,375
17,1144,21
18,1104,396
19,1063,391
20,1024,385
