,com.babytree.apps.pregnancy,6.6.1
,FirstColdStartTime(ms),WarmStartTime(ms)
1,4941,299
2,5469,315
3,5693,334
4,5516,343
5,5579,271
6,5665,282
7,5754,308
8,5952,307
9,5914,341
10,6627,418
11,6344,316
12,6353,290
13,6451,297
14,6222,325
15,6529,311
16,6352,371
17,6312,340
18,6426,313
19,6599,316
20,6372,421
