Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,BatteryLevel
2016-05-24 10:49:13,,,,,,9%,0,0,98
2016-05-24 10:49:16,MainActivity,743,3931,15528,,36%,20642,8220,98
2016-05-24 10:49:19,MainActivity,24188,20487,76704,0%,18%,257496,151255,98
2016-05-24 10:49:22,MainActivity,24216,20447,76772,0%,25%,257496,151255,98
2016-05-24 10:49:25,activity.RoleSelectActivity,28943,21459,76476,97%,21%,258391,156356,98
2016-05-24 10:49:28,activity.RoleSelectActivity,28939,21491,63072,97%,0%,280316,162228,98
2016-05-24 10:49:31,activity.RoleSelectActivity,13375,21734,61176,97%,0%,283647,168870,98
2016-05-24 10:49:34,activity.RoleSelectActivity,13387,21862,60952,47%,0%,286439,170910,98
2016-05-24 10:49:37,activity.RoleSelectActivity,13419,21506,60940,47%,0%,288108,173342,98
