Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,BatteryLevel
2016-05-25 10:48:11,activity.BangNewDetailActivity,40018,42745,153716,66%,5%,2069800,353964,94
2016-05-25 10:48:14,activity.BangNewDetailActivity,40082,43065,153900,66%,0%,2070414,354044,94
2016-05-25 10:48:17,activity.BangNewDetailActivity,40078,43021,153844,61%,15%,2070454,354084,94
2016-05-25 10:48:20,activity.BangNewDetailActivity,40070,43125,153756,61%,0%,2070454,354084,94
2016-05-25 10:48:23,activity.BangNewDetailActivity,40070,43377,154348,61%,3%,2070454,354084,94
2016-05-25 10:48:26,activity.BangNewDetailActivity,40070,42837,153900,61%,0%,2070454,354084,94
2016-05-25 10:48:29,activity.BangNewDetailActivity,40058,42849,153916,61%,13%,2070454,354324,94
2016-05-25 10:48:32,activity.BangNewDetailActivity,40070,43049,154044,81%,20%,2070454,354444,94
2016-05-25 10:48:36,activity.BangNewDetailActivity,40070,43297,153448,81%,21%,2070454,354564,94
2016-05-25 10:48:39,activity.BangNewDetailActivity,40074,42897,153404,81%,12%,2070454,354564,94
2016-05-25 10:48:42,activity.BangNewDetailActivity,40074,43165,154940,90%,2%,2070933,356008,94
2016-05-25 10:48:45,activity.CreateTopicInputActivity,41234,43509,155076,90%,1%,2070933,356128,94
2016-05-25 10:48:48,activity.CreateTopicInputActivity,41234,43729,154964,65%,1%,2070933,356128,94
2016-05-25 10:48:51,activity.CreateTopicInputActivity,41646,43841,155304,65%,2%,2070933,356128,94
2016-05-25 10:48:54,activity.CreateTopicInputActivity,41922,43713,156076,54%,1%,2070933,356248,94
2016-05-25 10:48:57,activity.CreateTopicInputActivity,41922,43973,155908,54%,0%,2070933,356308,94
2016-05-25 10:49:00,activity.CreateTopicInputActivity,42582,43421,155208,57%,14%,2070933,356488,94
2016-05-25 10:49:03,activity.CreateTopicInputActivity,41770,43821,155476,57%,2%,2070933,356488,94
2016-05-25 10:49:06,activity.CreateTopicInputActivity,41554,43445,155116,56%,2%,2070933,356488,94
2016-05-25 10:49:09,activity.CreateTopicInputActivity,42018,43357,155596,56%,1%,2070933,356548,94
2016-05-25 10:49:12,activity.CreateTopicInputActivity,41762,43241,165348,56%,0%,2071372,357945,94
2016-05-25 10:49:15,activity.CreateTopicInputActivity,51346,43849,165308,56%,11%,2072280,360893,94
2016-05-25 10:49:18,activity.BangNewDetailActivity,51438,43533,155268,59%,2%,2075340,361687,94
2016-05-25 10:49:21,activity.BangNewsListActivity,40774,43901,108140,59%,1%,2075340,361687,94
2016-05-25 10:49:24,activity.BangNewsListActivity,40614,43617,108148,64%,0%,2075340,361747,94
2016-05-25 10:49:27,activity.BangNewsListActivity,40614,43745,107988,64%,0%,2075708,366583,94
2016-05-25 10:49:30,activity.BangNewsListActivity,43234,44225,110248,64%,0%,2563312,381823,94
2016-05-25 10:49:33,activity.BangNewsListActivity,42742,44025,155264,64%,0%,2817850,396561,94
2016-05-25 10:49:36,activity.BangNewDetailActivity,53694,44513,156168,64%,4%,2817850,396561,94
2016-05-25 10:49:39,activity.BangNewDetailActivity,53694,44533,157204,75%,8%,2817850,396561,94
2016-05-25 10:49:42,activity.CreateTopicInputActivity,54710,44449,157248,75%,0%,2817850,396681,94
2016-05-25 10:49:45,activity.CreateTopicInputActivity,54670,44405,157128,50%,0%,2817850,396741,94
2016-05-25 10:49:48,activity.CreateTopicInputActivity,54670,44161,157180,50%,0%,2817850,396801,94
2016-05-25 10:49:51,activity.CreateTopicInputActivity,54670,44585,157344,55%,3%,2817850,396801,94
2016-05-25 10:49:54,activity.CreateTopicInputActivity,54606,44321,156964,55%,6%,2817850,396801,94
2016-05-25 10:49:57,activity.CreateTopicInputActivity,64078,44541,166964,55%,0%,2818090,397129,94
2016-05-25 10:50:00,activity.CreateTopicInputActivity,64026,44433,166812,52%,5%,2818090,397129,94
2016-05-25 10:50:03,activity.CreateTopicInputActivity,64078,44529,167168,52%,0%,2818490,397469,94
2016-05-25 10:50:06,activity.CreateTopicInputActivity,64458,44401,167376,52%,0%,2818490,397469,94
2016-05-25 10:50:09,activity.BangNewDetailActivity,64478,44153,157084,52%,24%,2818490,397469,94
2016-05-25 10:50:12,activity.BangNewDetailActivity,53706,44501,157120,65%,0%,2818490,397569,94
2016-05-25 10:50:15,activity.BangNewDetailActivity,53654,44469,156816,65%,0%,2818490,397569,94
2016-05-25 10:50:18,activity.CreateTopicInputActivity,54870,44301,157860,65%,1%,2818490,397569,94
2016-05-25 10:50:21,activity.CreateTopicInputActivity,54706,44481,157624,48%,0%,2818490,397569,94
2016-05-25 10:50:24,activity.CreateTopicInputActivity,54754,44389,157684,48%,0%,2818490,397569,94
2016-05-25 10:50:27,activity.CreateTopicInputActivity,54682,44609,157964,48%,0%,2818490,397569,94
2016-05-25 10:50:30,activity.CreateTopicInputActivity,54682,44805,157820,52%,0%,2818490,397569,94
2016-05-25 10:50:33,activity.CreateTopicInputActivity,54682,44665,158092,52%,0%,2818490,397569,94
2016-05-25 10:50:36,activity.CreateTopicInputActivity,54670,44545,156812,52%,27%,2818490,397569,94
2016-05-25 10:50:39,activity.BangNewDetailActivity,53738,44741,157216,62%,14%,2818490,397569,94
2016-05-25 10:50:43,activity.BangNewDetailActivity,53738,44709,157480,62%,8%,2818547,397830,94
2016-05-25 10:50:46,activity.BangNewDetailActivity,53966,44577,158792,62%,3%,2818547,398037,94
2016-05-25 10:50:49,activity.CreateTopicInputActivity,64126,44853,168196,66%,0%,2818547,398097,94
2016-05-25 10:50:52,activity.CreateTopicInputActivity,64174,44669,168348,66%,0%,2818547,398157,94
2016-05-25 10:50:55,activity.CreateTopicInputActivity,64122,44785,168352,66%,0%,2818547,398157,94
