Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,BatteryLevel
2016-05-25 10:45:04,launcher.Launcher,37679,47923,265284,23%,4%,448600,6202,94
2016-05-25 10:45:07,activity.WebViewLinkActivity,37739,47503,262040,23%,0%,556882,19184,94
2016-05-25 10:45:10,activity.WebViewLinkActivity,37399,46923,261740,23%,0%,556882,19408,94
2016-05-25 10:45:13,activity.WebViewLinkActivity,37427,47219,261852,23%,15%,556882,19408,94
2016-05-25 10:45:16,activity.WebViewLinkActivity,37439,47067,261964,23%,0%,557057,19552,94
2016-05-25 10:45:19,activity.WebViewLinkActivity,37491,46923,261764,23%,1%,557097,19788,94
2016-05-25 10:45:22,activity.WebViewLinkActivity,37523,47415,261740,69%,0%,557253,19944,94
2016-05-25 10:45:25,activity.WebViewLinkActivity,37523,47211,262248,69%,0%,557253,19944,94
2016-05-25 10:45:28,activity.WebViewLinkActivity,37523,47531,262708,69%,1%,557692,21682,94
2016-05-25 10:45:31,activity.WebViewLinkActivity,37431,47543,262652,69%,0%,557692,21682,94
2016-05-25 10:45:34,activity.WebViewLinkActivity,37475,47515,262536,63%,0%,557744,21734,94
2016-05-25 10:45:37,activity.WebViewLinkActivity,37491,47155,257976,63%,0%,602607,36126,94
2016-05-25 10:45:40,activity.WebViewLinkActivity,37527,47739,257516,86%,1%,602607,36178,94
2016-05-25 10:45:43,activity.WebViewLinkActivity,37479,47459,257576,86%,31%,607467,43248,94
2016-05-25 10:45:46,activity.WebViewLinkActivity,37675,47059,245440,86%,0%,611522,55334,94
2016-05-25 10:45:49,activity.WebViewLinkActivity,37615,47171,245928,86%,16%,611522,55334,94
2016-05-25 10:45:52,activity.WebViewLinkActivity,37447,46919,245676,86%,17%,612058,56079,94
2016-05-25 10:45:55,activity.WebViewLinkActivity,37695,47583,249768,86%,47%,624513,81987,94
2016-05-25 10:45:58,activity.WebViewLinkActivity,37787,48031,251656,106%,19%,647324,95795,94
2016-05-25 10:46:01,activity.WebViewLinkActivity,37715,48063,251140,106%,18%,681903,102127,94
2016-05-25 10:46:07,,4535,5207,13236,106%,2%,693079,117154,94
2016-05-25 10:46:10,,6750,6284,14576,0%,11%,702909,120154,94
2016-05-25 10:46:13,activity.SplashActivity,6420,11364,24300,0%,17%,713491,124498,94
2016-05-25 10:46:16,activity.WebViewLinkActivity,11351,28339,87836,78%,26%,759826,141967,94
2016-05-25 10:46:19,activity.WebViewLinkActivity,10399,36307,101148,78%,0%,840769,162559,94
2016-05-25 10:46:22,activity.WebViewLinkActivity,10043,36111,99872,78%,21%,871234,177877,94
2016-05-25 10:46:25,activity.WebViewLinkActivity,9959,36187,100388,78%,0%,872421,181009,94
2016-05-25 10:46:28,activity.WebViewLinkActivity,9959,36695,100616,118%,1%,873654,184316,94
2016-05-25 10:46:32,activity.WebViewLinkActivity,9959,39067,107384,118%,0%,969018,221479,94
2016-05-25 10:46:35,activity.WebViewLinkActivity,9947,39695,106600,118%,0%,995801,230987,94
2016-05-25 10:46:38,activity.WebViewLinkActivity,10063,39814,106420,118%,1%,998089,232515,94
2016-05-25 10:46:41,activity.WebViewLinkActivity,9967,40170,107276,77%,1%,998089,232555,94
2016-05-25 10:46:44,activity.WebViewLinkActivity,9935,39322,106740,77%,32%,998638,234205,94
2016-05-25 10:46:47,activity.WebViewLinkActivity,10091,40634,109000,77%,2%,1030186,267406,94
2016-05-25 10:46:50,activity.WebViewLinkActivity,9995,41462,142228,90%,2%,1048688,274730,94
2016-05-25 10:46:53,activity.MainActivity,33990,41306,89064,90%,30%,1130828,295912,94
2016-05-25 10:46:04,activity.WebViewLinkActivity,37651,,106516,112%,11%,1133758,295964,94
2016-05-25 10:46:56,activity.WebViewLinkActivity,29786,41090,106088,112%,0%,1133758,295964,94
2016-05-25 10:46:59,activity.WebViewLinkActivity,29786,40738,105560,112%,0%,1133758,295964,94
2016-05-25 10:47:02,activity.WebViewLinkActivity,29786,41186,108656,60%,1%,1134155,297389,94
2016-05-25 10:47:05,activity.WebViewLinkActivity,29638,41050,118644,60%,20%,1134632,299903,94
2016-05-25 10:47:08,activity.WebViewLinkActivity,29674,41742,88352,60%,0%,1134632,299943,94
2016-05-25 10:47:11,activity.MainActivity,29686,41478,88404,60%,6%,1135510,302902,94
2016-05-25 10:47:14,activity.MainActivity,29790,41798,89056,73%,7%,1135510,302902,94
2016-05-25 10:47:17,activity.MainActivity,29786,42198,88952,54%,10%,1135661,303134,94
2016-05-25 10:47:20,activity.MainActivity,29786,42434,91788,54%,6%,1135701,303214,94
2016-05-25 10:47:23,activity.BangNewsListActivity,40654,41894,99988,63%,2%,1728875,331564,94
2016-05-25 10:47:26,activity.BangNewsListActivity,39722,42374,127892,63%,2%,2067502,348824,94
2016-05-25 10:47:29,activity.BangNewDetailActivity,40118,43005,131424,63%,25%,2067502,349064,94
2016-05-25 10:47:32,activity.BangNewDetailActivity,40118,43165,135892,94%,0%,2067622,349184,94
2016-05-25 10:47:35,activity.BangNewDetailActivity,40118,42693,135648,94%,0%,2067622,349184,94
2016-05-25 10:47:38,activity.BangNewDetailActivity,40010,43085,136068,94%,0%,2067622,349184,94
2016-05-25 10:47:41,activity.BangNewDetailActivity,40030,43241,135972,62%,0%,2068061,350652,94
2016-05-25 10:47:44,activity.BangNewDetailActivity,40058,42805,136096,62%,6%,2068505,350916,94
2016-05-25 10:47:47,activity.BangNewDetailActivity,40006,42793,137988,90%,0%,2068705,351236,94
2016-05-25 10:47:50,activity.BangNewDetailActivity,40018,42349,137660,90%,0%,2068785,351600,94
2016-05-25 10:47:53,activity.BangNewDetailActivity,40018,42773,150528,90%,0%,2069185,351808,94
2016-05-25 10:47:56,activity.BangNewDetailActivity,40018,42505,152848,90%,0%,2069505,352044,94
2016-05-25 10:47:59,activity.BangNewDetailActivity,40018,42625,153364,90%,0%,2069505,352044,94
2016-05-25 10:48:02,activity.BangNewDetailActivity,40018,42877,153080,66%,0%,2069505,352204,94
2016-05-25 10:48:05,activity.BangNewDetailActivity,40018,42553,153360,66%,0%,2069616,352336,94
2016-05-25 10:48:08,activity.BangNewDetailActivity,40006,42653,153568,66%,0%,2069616,352336,94
