,页面名称,Activity展示时间
1,启动页面,404ms
2,主页面,1s55ms
3,登录页面,155ms
4,宝宝树推荐,100ms
5,他人信息页,160ms
6,消息,134ms
7,发帖,198ms
8,帮页面,135ms
9,帖子详情页,170ms
10,收藏,135ms
11,我的帖子,135ms
12,关注,144ms
13,粉丝,144ms
14,设置页面,133ms
