,com.yaya.mmbang,3.13.0
,FirstColdStartTime(ms),WarmStartTime(ms)
1,1069,19
2,1058,405
3,1025,19
4,1054,15
5,1066,389
6,1043,20
7,1059,21
8,1044,382
9,,
10,989,14
11,1030,363
12,989,14
13,993,379
14,1075,389
15,1085,430
16,965,387
17,1058,420
18,1101,394
19,1000,394
20,1010,431
