,com.yaya.mmbang,3.11.4
,FirstColdStartTime(ms),WarmStartTime(ms)
1,1183,20
2,1159,415
3,1172,382
4,1211,365
5,1181,420
6,1175,407
7,1270,399
8,1253,399
9,1209,389
10,1171,415
11,1252,393
12,1247,404
13,1128,403
14,1212,410
15,1201,391
16,1114,408
17,1285,391
18,1360,380
19,1237,424
20,1140,401
