Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,BatteryLevel
2016-05-25 17:36:59,login.NewbieProcessActivity,9003,13298,59540,,0%,215972,120135,98
2016-05-25 17:37:02,login.NewbieProcessActivity,35591,16206,56904,0%,1%,219004,122284,98
2016-05-25 17:37:05,login.NewbieProcessActivity,34898,16829,56476,0%,0%,219004,122284,98
2016-05-25 17:37:08,home.MainActivity,34790,16737,56428,20%,0%,233774,130527,98
2016-05-25 17:37:11,home.MainActivity,34886,16313,56408,20%,0%,238012,137273,98
2016-05-25 17:37:14,home.MainActivity,34766,16389,56228,20%,0%,238064,137325,98
2016-05-25 17:37:17,login.NewbieProcessActivity,34782,16561,56516,20%,0%,238064,137325,98
2016-05-25 17:37:20,login.NewbieProcessActivity,34790,16575,56400,28%,0%,238064,137325,98
2016-05-25 17:37:23,login.NewbieProcessActivity,34808,16457,56380,28%,0%,238064,137325,98
2016-05-25 17:37:26,login.NewbieProcessActivity,34804,17453,57656,28%,2%,238064,137325,98
2016-05-25 17:37:29,login.NewbieProcessActivity,35008,17740,58484,28%,0%,250478,149843,98
2016-05-25 17:37:32,login.NewbieProcessActivity,34932,17776,58160,31%,0%,250478,149903,98
