,com.yaya.mmbang,3.12.3
,FirstColdStartTime(ms),WarmStartTime(ms)
1,1122,419
2,1097,373
3,1185,391
4,1145,383
5,1166,387
6,1193,388
7,1179,410
8,1144,437
9,1282,394
10,1245,393
11,1169,405
12,1179,378
13,1211,406
14,1125,411
15,1146,399
16,1291,378
17,1115,412
18,1142,409
19,1253,378
20,1143,390
